storeId;orderDate;orderId;receiptType;lineNumber;transactionReasonCode;status;salesAssociateid;itemInstanceId;lineType;barcode;currency;unitPrice;itemId;quantity;deliveryType;itemSKU;lineTotal;lineDiscount;lineTaxAmount;customerExternalId;customerId
B0502-TEST;1734253200;RPB0502-TEST-6967580000000000000;Return;1;;Closed;XXXXX;73862488;Return;73862488;AED;1710000;20089321;-1;CarryOut;73862488;-1710000;0;0;6904EB8E-333C-EF11-8106-000D3A2436CD;6904EB8E-333C-EF11-8106-000D3A2436CD
B0502-TEST;1734253200;RPB0502-TEST-6967580000000000000;Sale;2;;Closed;XXXXX;73838202;Sale;73838202;AED;1710000;20089321;1;CarryOut;73838202;1710000;0;0;6904EB8E-333C-EF11-8106-000D3A2436CD;6904EB8E-333C-EF11-8106-000D3A2436CD
B0502-TEST;1669971600;RPB0502-TEST8670660000000000000;Sale;1;;Closed;XXXXX;73563445;Sale;73563445;AED;1474000;20089321;1;CarryOut;73563445;1250000;224000;0;B42759AD-E372-ED11-80FA-000D3A2436CD;B42759AD-E372-ED11-80FA-000D3A2436CD
B0502-TEST;1678784400;RPB0502-TEST9059910000000000000;Sale;1;;Closed;XXXXX;73736677;Sale;73736677;AED;1474000;20089321;1;CarryOut;73736677;1035000;439000;0;771843DD-E30A-EB11-80E6-000D3A2436CD;771843DD-E30A-EB11-80E6-000D3A2436CD
B0502-TEST;1677488400;RPB0502-TEST8993270000000000000;Sale;1;;Closed;XXXXX;73711020;Sale;73711020;AED;1474000;20089321;1;CarryOut;73711020;1035000;439000;0;771843DD-E30A-EB11-80E6-000D3A2436CD;771843DD-E30A-EB11-80E6-000D3A2436CD
B0502-TEST;1697101200;RPB0502-TEST-8588660000000000000;Sale;1;;Closed;XXXXX;73737886;Sale;73737886;AED;1549000;20089321;1;CarryOut;73737886;1085000;464000;0;771843DD-E30A-EB11-80E6-000D3A2436CD;771843DD-E30A-EB11-80E6-000D3A2436CD
B0502-TEST;1695891600;RPB0502-TEST-8651750000000000000;Return;1;;Closed;XXXXX;73711020;Return;73711020;AED;596000;20089321;-1;CarryOut;73711020;-1035000;0;0;771843DD-E30A-EB11-80E6-000D3A2436CD;771843DD-E30A-EB11-80E6-000D3A2436CD
B0502-TEST;1726218000;RPB0502-TEST-7319450000000000000;Return;1;;Closed;XXXXX;73737886;Return;73737886;AED;621000;20089321;-1;CarryOut;73737886;-1085000;0;0;771843DD-E30A-EB11-80E6-000D3A2436CD;771843DD-E30A-EB11-80E6-000D3A2436CD
B0502-TEST;1707728400;RPB0502-TEST-8128470000000000000;Sale;1;;Closed;XXXXX;73534507;Sale;73534507;AED;1675000;20089340;1;CarryOut;73534507;1090000;585000;0;CE6763BD-A18C-EC11-80F9-000D3A239D68;CE6763BD-A18C-EC11-80F9-000D3A239D68
B0502-TEST;1650790800;RPB0502-TEST7831960000000000000;Sale;1;;Closed;XXXXX;73557309;Sale;73557309;AED;1357000;20089280;1;CarryOut;73557309;1221300;135700;0;6897600C-483D-EC11-80F0-000D3A2436CD;6897600C-483D-EC11-80F0-000D3A2436CD
B0502-TEST;1672218000;RPB0502-TEST8767080000000000000;Sale;1;;Closed;XXXXX;73465208;Sale;73465208;AED;2272000;20089195;1;CarryOut;73465208;2272000;0;0;2FC1A357-5287-ED11-80FA-000D3A2436CD;2FC1A357-5287-ED11-80FA-000D3A2436CD
B0502-TEST;1728464400;RPB0502-TEST-7219610000000000000;Sale;1;;Closed;XXXXX;73742266;Sale;73742266;AED;1829000;20089285;1;CarryOut;73742266;1829000;0;0;0042299C-1C86-EF11-8108-000D3A2436CD;0042299C-1C86-EF11-8108-000D3A2436CD
